Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2020-01-01,1900.037841796875,2167.60009765625,2183.89990234375,2154.0,2168.0,1354908
2020-01-02,1891.31591796875,2157.64990234375,2179.949951171875,2149.199951171875,2179.949951171875,2380752
2020-01-03,1929.008056640625,2200.64990234375,2223.0,2164.0,2164.0,4655761
2020-01-06,1928.8331298828125,2200.449951171875,2225.949951171875,2187.89990234375,2205.0,3023209
2020-01-07,1933.566162109375,2205.85009765625,2214.64990234375,2183.800048828125,2200.5,2429317
2020-01-08,1976.8685302734375,2255.25,2260.0,2202.050048828125,2205.0,5197454
2020-01-09,1941.016845703125,2214.35009765625,2251.949951171875,2210.0,2248.75,3734173
2020-01-10,1940.3154296875,2213.550048828125,2234.0,2208.0,2228.0,1915807
2020-01-13,1919.97998046875,2190.35009765625,2218.949951171875,2184.699951171875,2217.85009765625,2843893
2020-01-14,1934.486572265625,2206.89990234375,2229.800048828125,2195.0,2195.0,2948452
2020-01-15,1952.0177001953125,2226.89990234375,2231.0,2194.199951171875,2213.0,2620681
2020-01-16,1962.4488525390625,2238.800048828125,2249.0,2215.0,2226.949951171875,3117214
2020-01-17,1945.1810302734375,2219.10009765625,2253.550048828125,2213.0,2240.75,3281059
2020-01-20,1902.4482421875,2170.35009765625,2242.199951171875,2156.199951171875,2194.89990234375,5817599
2020-01-21,1903.0621337890625,2171.050048828125,2186.550048828125,2158.050048828125,2169.949951171875,1902980
2020-01-22,1934.486572265625,2206.89990234375,2210.0,2173.699951171875,2181.0,1773686
2020-01-23,1924.8663330078125,2190.949951171875,2217.75,2183.699951171875,2209.800048828125,2069866
2020-01-24,1918.2335205078125,2183.39990234375,2190.949951171875,2170.0,2190.949951171875,1319430
2020-01-27,1905.8017578125,2169.25,2193.449951171875,2165.0,2189.699951171875,1549101
2020-01-28,1918.54052734375,2183.75,2187.800048828125,2152.0,2174.0,1743024
2020-01-29,1892.9312744140625,2154.60009765625,2186.949951171875,2150.0,2185.0,2306761
2020-01-30,1878.2154541015625,2137.85009765625,2165.0,2125.0,2160.0,2098567
2020-01-31,1826.556396484375,2079.050048828125,2144.35009765625,2071.60009765625,2139.39990234375,3287223
2020-02-03,1847.1585693359375,2102.5,2194.699951171875,2093.199951171875,2152.0,4728073
2020-02-04,1851.77099609375,2107.75,2136.699951171875,2086.60009765625,2129.0,3509339
2020-02-05,1885.85888671875,2146.550048828125,2156.699951171875,2104.300048828125,2115.0,2439322
2020-02-06,1869.869140625,2128.35009765625,2174.199951171875,2115.5,2145.0,2640065
2020-02-07,1877.0732421875,2136.550048828125,2151.0,2119.0,2139.0,2083442
2020-02-10,1899.388427734375,2161.949951171875,2167.0,2119.0,2140.89990234375,2383032
2020-02-11,1891.87646484375,2153.39990234375,2174.800048828125,2147.60009765625,2163.0,1335820
2020-02-12,1907.1199951171875,2170.75,2185.0,2150.0,2151.10009765625,1620407
2020-02-13,1925.7454833984375,2191.949951171875,2197.0,2171.0,2172.949951171875,1645948
2020-02-14,1918.9365234375,2184.199951171875,2212.0,2171.0,2188.0,1500115
2020-02-17,1935.672607421875,2203.25,2217.0,2190.199951171875,2196.949951171875,1774724
2020-02-18,1946.655029296875,2215.75,2221.0,2186.050048828125,2199.949951171875,2486223
2020-02-19,1929.6109619140625,2196.35009765625,2230.0,2190.5,2215.75,1760463
2020-02-20,1894.86376953125,2156.800048828125,2214.39990234375,2151.25,2204.5,2317278
2020-02-24,1858.4481201171875,2115.35009765625,2178.949951171875,2106.699951171875,2156.0,3092877
2020-02-25,1894.293212890625,2156.14990234375,2176.64990234375,2111.0,2115.5,2674567
2020-02-26,1865.6961669921875,2123.60009765625,2163.89990234375,2112.949951171875,2154.0,2686842
2020-02-27,1849.7939453125,2105.5,2119.949951171875,2086.199951171875,2119.949951171875,2349001
2020-02-28,1757.23876953125,2000.1500244140625,2069.5,1990.0,2068.0,4298076
2020-03-02,1758.248779296875,2001.300048828125,2053.949951171875,1985.699951171875,2035.0,2667076
2020-03-03,1788.910400390625,2036.199951171875,2060.0,2012.0,2020.0,2757585
2020-03-04,1830.2022705078125,2083.199951171875,2094.449951171875,2025.0,2056.0,3237002
2020-03-05,1866.969970703125,2125.050048828125,2147.75,2084.050048828125,2085.699951171875,3937056
2020-03-06,1859.414306640625,2116.449951171875,2123.64990234375,2071.60009765625,2098.0,2595027
2020-03-09,1732.8143310546875,1972.3499755859375,2079.89990234375,1935.0,2075.0,4940975
2020-03-11,1716.4300537109375,1953.699951171875,1987.300048828125,1920.0,1933.0,6796449
2020-03-12,1554.907470703125,1769.8499755859375,1908.4000244140625,1758.3499755859375,1904.0,8728786
2020-03-13,1586.9310302734375,1806.300048828125,1820.0,1506.050048828125,1687.9000244140625,8029720
2020-03-16,1490.378173828125,1696.4000244140625,1842.25,1675.8499755859375,1755.0,7844271
2020-03-17,1456.641357421875,1658.0,1731.0,1623.1500244140625,1730.0,5713248
2020-03-18,1453.4786376953125,1654.4000244140625,1713.550048828125,1627.75,1676.800048828125,7258778
2020-03-19,1448.124755859375,1636.3499755859375,1685.449951171875,1546.75,1559.699951171875,5135111
2020-03-20,1590.6937255859375,1797.449951171875,1869.0,1627.0,1630.0,8547498
2020-03-23,1477.638427734375,1669.699951171875,1750.0,1617.75,1620.0,7003490
2020-03-24,1507.240966796875,1703.1500244140625,1770.0,1632.8499755859375,1653.050048828125,6350865
2020-03-25,1548.96728515625,1750.300048828125,1810.0,1680.0,1700.0,2765520
2020-03-26,1584.9412841796875,1790.949951171875,1832.050048828125,1722.550048828125,1831.5999755859375,4556067
2020-03-27,1614.632080078125,1824.5,1850.0,1750.4000244140625,1820.0,4331250
2020-03-30,1573.9234619140625,1778.5,1905.0,1763.550048828125,1766.0,8513547
2020-03-31,1616.0482177734375,1826.0999755859375,1855.0,1780.0,1837.4000244140625,3927593
2020-04-01,1512.1966552734375,1708.75,1834.75,1702.0,1825.9000244140625,4941878
2020-04-03,1463.92138671875,1654.199951171875,1740.0,1650.0,1740.0,5735369
2020-04-07,1571.003173828125,1775.199951171875,1785.8499755859375,1705.0,1710.0,5427577
2020-04-08,1509.276123046875,1705.449951171875,1806.0,1701.0,1760.0,6285615
2020-04-09,1562.9940185546875,1766.1500244140625,1778.800048828125,1731.199951171875,1750.449951171875,5307397
2020-04-13,1556.8878173828125,1759.25,1787.0,1746.0,1761.0,2990438
2020-04-15,1535.5596923828125,1735.1500244140625,1812.0,1727.800048828125,1785.0,4761399
2020-04-16,1518.6568603515625,1716.050048828125,1764.9000244140625,1675.050048828125,1709.949951171875,6245533
2020-04-17,1598.4371337890625,1806.199951171875,1851.949951171875,1753.0,1800.0,9895823
2020-04-20,1609.455322265625,1818.6500244140625,1830.0,1802.5,1830.0,3244282
2020-04-21,1537.7724609375,1737.6500244140625,1794.5999755859375,1727.699951171875,1765.0,5122541
2020-04-22,1565.958740234375,1769.5,1790.0,1719.1500244140625,1737.6500244140625,3829836
2020-04-23,1662.199462890625,1878.25,1900.0,1760.8499755859375,1780.0,5934366
2020-04-24,1609.3668212890625,1818.550048828125,1851.949951171875,1807.800048828125,1840.699951171875,2987102
2020-04-27,1625.340087890625,1836.5999755859375,1875.0,1825.0,1832.300048828125,3374741
2020-04-28,1645.208251953125,1859.050048828125,1868.0,1832.5999755859375,1865.0,2678505
2020-04-29,1686.4481201171875,1905.6500244140625,1912.550048828125,1850.050048828125,1874.0,4241510
2020-04-30,1782.732421875,2014.449951171875,2032.0,1942.199951171875,1980.0,5915544
2020-05-04,1708.394775390625,1930.449951171875,1966.0,1913.6500244140625,1966.0,3729348
2020-05-05,1710.430419921875,1932.75,1977.0,1927.0,1955.0999755859375,2905528
2020-05-06,1684.6336669921875,1903.5999755859375,1953.699951171875,1893.5999755859375,1939.800048828125,3517431
2020-05-07,1674.0584716796875,1891.6500244140625,1934.449951171875,1883.3499755859375,1910.0,3166754
2020-05-08,1675.6065673828125,1893.4000244140625,1939.5,1886.25,1939.0999755859375,2686530
2020-05-11,1712.6871337890625,1935.300048828125,1951.4000244140625,1909.0,1909.0,2449841
2020-05-12,1725.2537841796875,1949.5,1956.5,1910.25,1933.4000244140625,3256595
2020-05-13,1725.386474609375,1949.6500244140625,1994.0,1925.6500244140625,1994.0,2656665
2020-05-14,1683.5272216796875,1902.3499755859375,1923.0999755859375,1891.0999755859375,1910.0,2263146
2020-05-15,1675.16455078125,1892.9000244140625,1917.4000244140625,1865.199951171875,1916.0,3173682
2020-05-18,1721.802490234375,1945.5999755859375,1952.949951171875,1872.0999755859375,1907.0,3727694
2020-05-19,1724.501708984375,1948.6500244140625,1966.449951171875,1903.0,1903.0,3198693
2020-05-20,1728.8818359375,1953.5999755859375,1962.9000244140625,1931.699951171875,1950.0,2778505
2020-05-21,1762.1572265625,1991.199951171875,1998.0,1941.1500244140625,1946.0,3400908
2020-05-22,1787.9541015625,2020.3499755859375,2032.0,1961.25,1977.0999755859375,3663418
2020-05-26,1719.501708984375,1943.0,2024.0,1925.0,2015.0,4575317
2020-05-27,1774.6353759765625,2005.300048828125,2010.0,1941.25,1959.0,3482160
2020-05-28,1773.750244140625,2004.300048828125,2014.0,1971.300048828125,1988.5,3475681
