Date,Close,High,Low,Open,Volume,MA20,MA50,MA200,RSI,MACD,Signal_Line,Daily Return,Year,Month
2020-01-01,1900.037841796875,1914.3256459696258,1888.116500666217,1900.3883813576408,1354908,1900.037841796875,1900.037841796875,1900.037841796875,,0.0,0.0,,2020,1
2020-01-02,1891.31591796875,1910.8633140844495,1883.9090040203537,1910.8633140844495,2380752,1895.6768798828125,1895.6768798828125,1895.6768798828125,0.0,-0.6957660033831417,-0.13915320067662834,-0.004590394799651287,2020,1
2020-01-03,1929.008056640625,1948.5993230204767,1896.882112018134,1896.882112018134,4655761,1906.7872721354167,1906.7872721354167,1906.7872721354167,24.948934409804593,1.7738274322168763,0.24344292590207262,0.019929054852113604,2020,1
2020-01-06,1928.8331298828125,1951.1854877657163,1917.8322207512765,1932.8215345804963,3023209,1912.2987365722656,1912.2987365722656,1912.2987365722656,24.917863572645004,3.6745252551297654,0.9296593917476113,-9.06822328762269e-05,2020,1
2020-01-07,1933.566162109375,1941.279743641955,1914.237909327274,1928.8764654690196,2429317,1916.5522216796876,1916.5522216796876,1916.5522216796876,27.547070698078315,5.499364863745768,1.8436004861472428,0.0024538318806510695,2020,1
2020-01-08,1976.8685302734375,1981.0322041538493,1930.2354256137487,1932.821243433291,5197454,1926.6049397786458,1926.6049397786458,1926.6049397786458,46.132476833727274,10.320731648669607,3.5390267186517157,0.022395079626767345,2020,1
2020-01-09,1941.016845703125,1973.9754772885483,1937.203712070746,1971.1705192394072,3734173,1928.663783482143,1928.663783482143,1928.663783482143,37.54523753701145,11.120577150921918,5.055336805105757,-0.01813559375410445,2020,1
2020-01-10,1940.3154296875,1958.2410943076209,1935.4504638456701,1952.9817180471707,1915807,1930.1202392578125,1930.1202392578125,1930.1202392578125,37.3985637478849,11.564553094164921,6.35718006291759,-0.00036136523862617675,2020,1
2020-01-13,1919.97998046875,1945.0495555348982,1915.027270786255,1944.0854645735,2843893,1928.9935438368057,1928.9935438368057,1928.9935438368057,33.33288270079716,10.158406638011229,7.117425377936318,-0.01048048626919651,2020,1
2020-01-14,1934.486572265625,1954.559991014655,1924.0555593905922,1924.0555593905922,2948452,1929.5428466796875,1929.5428466796875,1929.5428466796875,38.47155173516168,10.098180621823758,7.713576426713806,0.007555595341850019,2020,1
2020-01-15,1952.0177001953125,1955.6116934363677,1923.3541381663943,1939.833562337374,2620681,1931.586015181108,1931.586015181108,1931.586015181108,44.08108653371003,11.33441055086223,8.437743251543491,0.009062419032020097,2020,1
2020-01-16,1962.4488525390625,1971.3897503578196,1941.586614958902,1952.0614976878974,3117214,1934.1579182942708,1934.1579182942708,1934.1579182942708,47.16753393018151,13.005914408147419,9.351377482864276,0.0053437795890407536,2020,1
2020-01-17,1945.1810302734375,1975.3785826885596,1939.8339103953006,1964.1585335374016,3281059,1935.005849984976,1935.005849984976,1935.005849984976,42.94208154091248,12.789791558242314,10.039060297939884,-0.008799119652613374,2020,1
2020-01-20,1902.4482421875,1965.4291537325275,1890.0447496196578,1923.9676886695293,5817599,1932.6803065708705,1932.6803065708705,1932.6803065708705,34.665732990525086,9.065828548660647,9.844413948084036,-0.021968540419053162,2020,1
2020-01-21,1903.0621337890625,1916.648860216513,1891.6668148499107,1902.0978288923563,1902980,1930.70576171875,1930.70576171875,1930.70576171875,34.85996411288116,6.093850836450429,9.094301325757314,0.0003226850475872567,2020,1
2020-01-22,1934.486572265625,1937.2040028488423,1905.3847268789543,1911.7836788295588,1773686,1930.9420623779297,1930.9420623779297,1930.9420623779297,44.03222422000106,6.202725489271415,8.515986158460136,0.016512565679605684,2020,1
2020-01-23,1924.8663330078125,1948.4116046305764,1918.4968215058075,1941.4271487092474,2069866,1930.5846665326287,1930.5846665326287,1930.5846665326287,42.078807835773446,5.449913319328289,7.902771590633766,-0.0049730194025309205,2020,1
2020-01-24,1918.2335205078125,1924.8666419657889,1906.4609900521132,1924.8666419657889,1319430,1929.8984917534722,1929.8984917534722,1929.8984917534722,40.73694181456138,4.268882692514126,7.175993811009839,-0.003445856154403959,2020,1
2020-01-27,1905.8017578125,1927.0627049058899,1902.067906264406,1923.7681300105128,1549101,1928.6302425986842,1928.6302425986842,1928.6302425986842,38.273386627144426,2.303217995612158,6.201438647930304,-0.006480839044049946,2020,1
2020-01-28,1918.54052734375,1922.098710658909,1890.6464635804236,1909.974633747138,1743024,1928.1257568359374,1928.1257568359374,1928.1257568359374,42.13500410848597,1.753117947875353,5.3117745079193135,0.0066842049436830475,2020,1
2020-01-29,1892.9312744140625,1921.3523487048565,1888.8898429074238,1919.639212443126,2306761,1927.7704284667968,1926.4498291015625,1926.4498291015625,37.10892532865974,-0.7407540377382702,4.101268798787797,-0.013348299170486633,2020,1
2020-01-30,1878.2154541015625,1902.0680928882032,1866.9259572228323,1897.675325930032,2098567,1927.1154052734375,1924.2573575106535,1924.2573575106535,34.55794882614481,-3.860112295979661,2.5089925798343056,-0.007774091173518793,2020,1
2020-01-31,1826.556396484375,1883.9259734914237,1820.0112168846078,1879.5769627896418,3287223,1921.992822265625,1920.0094896399457,1920.0094896399457,27.429530977547174,-10.381014532770678,-0.06900884268669127,-0.027504329976828168,2020,1
2020-02-03,1847.1585693359375,1928.1611519278442,1838.987979615075,1890.6469637150715,4728073,1917.9090942382813,1916.9740346272786,1916.9740346272786,33.335498548103686,-13.728203185598886,-2.8008477112691303,0.011279242672832979,2020,2
2020-02-04,1851.77099609375,1877.2050750492278,1833.1896768052331,1870.4402565216908,3509339,1913.8193359375,1914.3659130859376,1914.3659130859376,34.61838411043196,-15.826254802598214,-5.405929129534947,0.002497038876023927,2020,2
2020-02-05,1885.85888671875,1894.7761181360831,1848.7400047213953,1858.1404834178752,2439322,1909.2688537597655,1913.2694889948918,1913.2694889948918,43.30227301028575,-14.570409326713161,-7.23882516897059,0.018408264681165853,2020,2
2020-02-06,1869.869140625,1910.1506837251948,1858.5796440859206,1884.4969683593947,2640065,1905.7114685058593,1911.6620686848958,1911.6620686848958,40.57961758141259,-14.695975558763848,-8.730255246929243,-0.008478760635993732,2020,2
2020-02-07,1877.0732421875,1889.7682954629988,1861.654587673684,1879.2256550420059,2083442,1902.5493591308593,1910.426753452846,1910.426753452846,42.33871246848276,-14.052191991324662,-9.794642595808327,0.0038527303360340603,2020,2
2020-02-10,1899.388427734375,1903.8251651798626,1861.6546031454216,1880.8948362774072,2383032,1901.5197814941407,1910.0461215315195,1910.0461215315195,47.5212522662981,-11.607535454790423,-10.157221167604746,0.01188828706591627,2020,2
